xwiki_page,Business_System,clientname,parentcompany,childcompany,lead,pmlead,notesissues,intake,cid,legalentity,requirequote,whoapprovequote,refusingprojects,followrules,intakeinfo,processingrequirements,securityrequirements,translationmemory,translationglossary,usrequirements,deliveryrequirements,certificationneeded,preferredlinguist,processinginformation,pricingrequirements,pricingstructure,expandoncontract,rushfees,minimums,languagenotincluded,billclient,porequirements,billingcontact,billinginfo
Client Info Library.Department of Job and Family Services (State of Ohio),XTRF,Department of Job and Family Services (State of Ohio),Client Info Library.State of Ohio,,,,,"Each county is set up as their own department under Department of Job and Family Services (State of Ohio)
\\__The counties currently included as separate departments under this client are:__
Allen County Dept of Job and Family Services 
Ashland County Dept of Job and Family Services
Clermont County Dept of Job and Family Services
Geauga County Dept Job & Family Services
Hancock County Dept of Job and Family Services 
Huron County Dept of Job and Family Services
Jefferson County Dept of Job and Family Services
Logan County Dept of Job and Family Services
Marion County Dept of Job & Family Services
Medina County Dept of Job and Family Services
Miami County Dept of Job and Family Services 
Summit County Dept of Job and Family Services",,LLS,"No but if they request one, Quotes need custom T&C

State of Ohio Contract already includes T&Cs, we need to remove ours and add this instead:

Authorization: By signing below I authorize Language Line to proceed with my project in accordance with the terms of this quote and I acknowledge that I have read and agree to the related provisions  detailed in The State of Ohio Term Schedule No. 800308.",,,,"""800308_OC.PDF"" and ""Hardin County Job & Family Services  A 19.20.pdf"" are very old contracts that we are not using anymore ~-~- attached for historical reference. ODJFS Bureau of Civil Rights and ODJFS clients have been moved to ""Department of Job and Family Services (State of Ohio)"" and the old companies and pricing removed from the system. 

(% class=""box errormessage"" %)
(((
(% style=""color:#2980b9"" %)Ashland County Dept of Job and Family Services(%%) and (% style=""color:#2980b9"" %)Geauga County Dept of Job and Family Services(%%) exist in XTRF as stand-alone clients. The cannot be deleted because projects are already associated with them, so they have been marked ""inactive.""
\\Please be sure to build projects for these counties under(% style=""background-color:#f1c40f"" %) **//Department of Job and Family Services (State of Ohio)//**(%%)**// //__only.__ Do NOT use the inactive accounts. **
)))

 ",,,,,,,,,,,"[[Government List pricing>>doc:Government List Pricing]] - with leveraging - per [[State of Ohio wiki >>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/State%20of%20Ohio]]

Minimums are lower for this client and deviate from our normal gov pricing: 

Spanish: $75

All Other Languages: $99

Formatting/DTP: $60.00/hour

Proofreading (if requested): $65.00/hour

Engineering  (if applicable): $65.00/hour

Project Management: 10% per project",,,,,,,,
Client Info Library.California Department of State Hospitals,,California Department of State Hospitals,,,,,,,,LLS,,,,,,,,,,,,,,,,[[CMAS Pricing>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/California%20Multiple%20Award%20Schedule%20%28CMAS%29]],,,,,,,,
Client Info Library.Serenity Home Health,,Serenity Home Health,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare List Pricing.,,,,,,,"Tanola Williams

Accounting Manager

316-866-2929

tanolawilliams@serenityhomehealth.com

3221 N Toben Street

Wichita, KS 67226",
Client Info Library.Philips Lifeline,,Philips Lifeline,,,,,,,,LLS,,,,,,,,,,,,,,,,"Client Specific Pricing 

{{pdfviewer file=""Philips Translation and Localization Pricing 8-2012.pdf""/}}
",,,"$99 minimum, $129 rush minimum",,,,,
Client Info Library.Mount Sinai Kravis Children's Hospital,XTRF,Mount Sinai Kravis Children's Hospital,Client Info Library.The Mount Sinai Medical Center,,,,,Refer to [[The Mount Sinai Medical Center>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/The%20Mount%20Sinai%20Medical%20Center]],,PI,,,,,,,,,,,Refer to [[The Mount Sinai Medical Center>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/The%20Mount%20Sinai%20Medical%20Center]],,,,,"refer to parent: [[The Mount Sinai Medical Center>>doc:The Mount Sinai Medical Center]]

 ",,,,,,HC372794N,,
Client Info Library.Spira Care,,Spira Care,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare List Pricing,,,,,,,,
Client Info Library.Good Samaritan Hospital (BROADLANE),,Good Samaritan Hospital (BROADLANE),,,,,,,,LLS,,,,,,,,,"[[**Healthcare Style Guide**>>url:https://wiki.llts.com:8181/xwiki/bin/download/Knowledge+Management/Healthcare+style+guide/WebHome/Healthcare%20Style%20Guide.pdf||rel=""__blank""]]** (% style=""color: rgb(255, 0, 0);"" %)(Mandatory: Please provide to linguistic teams.)(%%)**",,,,,,,LLS Pricing,,,,,,,,
Client Info Library.Hana Group North America,,Hana Group North America,,,,,,,,LLS,,,,,,,,,,,,,,,,"Margin

English (US) to Bengali $0.28/word

English (US) to Spanish (US) $0.15/word

PR $65.00/hour

Format $55/hour

PM 10% with $27.50 minimum",,,"Spanish $99.00

Bengali $125.00

Tibetan $125.00


note: client has received tr/ce minimum + format on past quote",,,,,
Client Info Library.Eastport Health Care,XTRF,Eastport Health Care,,,,,,,Direct Bill,LLS,,,,,,,,,,,,,,,,Healthcare pricing ,,,,,,,,
Client Info Library.Jacksonville University Student Health Center,WorkFront,,,,,,,,,LLS,,,,,,,,,,,,,,,,[[FL DOH Pricing>>https://wiki.llts.com:8181/xwiki/bin/download/Client%20Info%20Library/Florida%20Dept.%20of%20Agriculture%20and%20Consumer%20Services%20%28Florida%20DOH%29/FL%20DOH%20Translation%20Pricing%20Sheet.pdf]],,,,,,,,
Client Info Library.Think Small,XTRF,Think Small,,,,,,,Known CID: 9022001069,LLS,,,,,,,,,,,,,,,,"[[Charity, nonprofit>>https://wiki.llts.com:8181/xwiki/bin/view/Knowledge%20Management/List%20Pricing%20-%20Charity%2C%20Nonprofit%20List%20Pricing/]] list ",,,,,,,,
Client Info Library.NYS Fairport Urban Renewal Agency,,NYS Fairport Urban Renewal Agency,,,,,,,9029015733,LLS,"Upon request.


A client specific template must be used for all quotes with no Terms and Conditions listed.


Please refer to Formatting as “Desktop Publishing” on all quotes, to align with language in the contract.",,,,,,,,,,ShareFile,,,,,Client falls under NYS contract #PS67902.,"Each language is priced a tiered per word rate. Please refer to “NYS Contract PS67902_Pricing 2018-2022” sheet for additional details.


**Tier 1: $0.17/word**

Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean

**Tier 2: $0.24/word**

All other languages


**Formatting (Desktop Publishing):**  

$50/hour for Tier 1 languages

$60/hour for Tier 2 languages


**Document Review** (for stand alone copyedit projects):

$55/hour


**__ADDITIONAL PRICING COMPONENTS__**

Client is not charged for the following services:

* Proofreading
* Project Management
* Engineering

­­OFF CONTRACT (Priced at 50% margin):

* Transcription
* Recording",25%,No,Contact Jon Bove: [[jbove@llts.com>>path:mailto:jbove@llts.com]],,,,
Client Info Library.Liberty Healthcare Corporation,XTRF,Liberty Healthcare Corporation,,,,,Email domain of [[@libertyhealth.com>>path:mailto:Lakesha.gorham@libertyhealth.com]] only,,Former PI client,Lingo Systems (LLTS),,,,,,,,,,,,,,,,"[[**Healthcare List Pricing**>>doc:Knowledge Management.List Pricing - Healthcare List Pricing.WebHome]]

 ","Follow contracted TATs:

Less than 1000 words: 1-3 business days

1001-2500 words: 4-6 business days

2501 to 7500 words: 6-8 business days

Greater than 7501 words: 8+ business days",,,,,,,
Client Info Library.Kips Bay Endoscopy Center,,Kips Bay Endoscopy Center (KBEC),,,,,,,PI NUM 3100137,PI,,,,,,,,,,,,,,,,PI 0.25 all inclusive,,,,,,,,
Client Info Library.NYS Middle Country Central School District,WorkFront,NYS Middle Country Central School District,,,,,,,572915,LLS,"Upon request.


A client specific template must be used for all quotes with no Terms and Conditions listed and referencing NYS Contract PS69777.


Please refer to Formatting as “Desktop Publishing” on all quotes, to align with language in the contract.",,,,,,,,,,ShareFile,,,,,Client falls under NYS contract #PS69777,"Each language is priced a tiered per word rate. Please refer to “New York State Contract PS69777 Translation pricing 10-2022-2027” sheet for additional details.


Tier 1: $0.17/word

Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean, Arabic, Bengali and Polish

Tier 2: $0.24/word

All other languages


NOTE: If the requested language is rare and our resources are very limited per Jon Bove's confirmation and approval can charge up to $0.55/word


Formatting (Desktop Publishing):  

$60/hour for all languages


Document Review (for stand-alone copyedit projects): $55/hour


ADDITIONAL PRICING COMPONENTS

Client is not charged for the following services:

~* Proofreading

~* Project Management

~* Engineering


OFF CONTRACT (Priced at 50% margin):

~* Transcription

~* Recording",25%,No,Contact Jon Bove: [[jbove@llts.com>>path:mailto:jbove@llts.com]],,PO # 173424 must be included on all projects.,,
Client Info Library.World Wide Technology,XTRF,World Wide Technology (WWT),,,,,"Client typically only requests TR/CE for e-learning content. They export in Word tables, or xliffs. Unless otherwise requested we do not include OLR. they will not approve the estimates. Every once in a while they may request us to include OLR. 

Spanish = Spanish (Latin America)
Chinese = Chinese (Simplified)
Portuguese = Portuguese (Brazil) 
Dutch = Dutch","Quote requests will come in with subject line:

RITMXXXXXX – WWT/LLS Translation Request Quote Required

Intake team will need to download the files for the Quote Starts team before we can provide a quote.

If the files are not attached to the email by the WWT requestor, Intake can request the client send the files via ShareFile link.

Note, client may send using WWT secure log in ([[https:~~/~~/login.wwt.com/>>url:https://protect-us.mimecast.com/s/fu8MCYEmv5ug79riQXpxw?domain=login.wwt.com/]]), at this time both the Intake team ([[translation@llts.com>>path:mailto:translation@llts.com]] or [[translation@llts.com>>path:mailto:translation@llts.com]]) and Project Managers (Nhan Le and Natalya Voznyuk) are unable to successfully log in and download. Please use ShareFile instead. 

(% style=""background-color:#f1c40f; color:null"" %)Project must be created with ""RITMXXXXXX"" included in the name. ",732639,Varies,"Most projects will come through Service Now and explicitly request an estimate. 

These estimates must be submitted to client via Service Now following strict guidelines for automatic approval process.

INSTRUCTIONS:
 Estimate and provide quote to client through Service Now by Reply All to their email request.  When creating the project folder ensure that the client’s Remittance **Number or Ticket Number (**RITM~#~#~#~#) is included in the project name. For example, RITM98060.

WWT will use their ServiceNow (SN) system to request translation estimates and send approvals. The WWT requester can either attach files directly to a request email via SN, or use a permanent ShareFile link LL has provided (ShareFile: Natalya, Alex, Nhan and Erin H).


The request will come to:

[[translation@languageline.com>>path:mailto:translation@languageline.com]] – LanguageLine Intake

[[translation@llts.com>>path:mailto:translation@llts.com]] – LanguageLine Intake

[[nvoznyuk@llts.com>>path:mailto:nvoznyuk@llts.com]] – Natalya Voznyuk

[[swing@llts.com>>path:mailto:swing@llts.com]] – Stacy Wing

[[nle@llts.com>>path:mailto:nle@llts.com]] – Nhan Le


The communication work similarly to Basecamp in that you will Reply All to SN and anyone else on copy.


Intake Process: ALL steps must be followed.

(% style=""background-color:#f1c40f"" %)-     When creating the project folder ensure that the Remittance Number or Ticket Number is included in the project name. For example, RITM98060.

-     Once the Estimate is ready, please do a **Reply All** to the requestor email with an attached PDF Estimate **AND **will also need to include the actual dollar amount in the body of the email (Estimated_price: $350.00). Exact wording is needed: **Estimated_price:**

This is VERY important for approval. Ensure that all logos and graphics are removed from your email signature line. This allows SN to pick-up the needed information, place in the correct area and send internally within WWT for approval.

If LanguageLine has a question for the client and we are not ready to include the price, we would leave the pricing out. We should only use the “Estimated_price:” piece when we are ready to communicate the final estimated price and have it sent to the WWT requesters manager. Otherwise, just reply and cc the requestor with questions to assist in the estimation.



//Sample email to client~://


 Hello Ryan,


 Attached you will find the quote to translate your project #5514082.

 Estimated_price: $99.00


 We appreciate your consideration of our cost proposal. Please let us know if there are any questions or if we can assist in any other way.",,,,"When FOH sends quotes to WWT their system sends an automated response. These are not approvals as they do not say ""RITM~#~## has been approved....""


When we receive an approval sometimes the response will not include the project number but you should be able to find the project using the RITM number. 

Here's an example of an approval: 


[[image:Approval Example.JPG]]",,,Yes. We do pass on leveraging to this customer.,Please reference the Do Not Translate list attached. ,,"At delivery, please provide path one of the listed Project Manager below and they will deliver to Service Now so the project can close out on Client side.

[[nvoznyuk@llts.com>>path:mailto:nvoznyuk@llts.com]] – Natalya Voznyuk

[[nle@llts.com>>path:mailto:nle@llts.com]] – Nhan Le",,,"Project managers, please communicate freely via email with requestor. However, at delivery, please provide path to lead PM and PM will deliver to Service Now so the project can close out on their side.","Spanish = Spanish (Latin America)
Chinese = Chinese (Simplified)
Portuguese = Portuguese (Brazil) 
Dutch = Dutch

Storyline Exports: 

{{{• The completed translations will be returned in the same format they have been provided via secure delivery method 
  electronically.
• Treatment of proper names, acronyms, and other items will be handled on a language-by-language basis to maximize 
  fluency and comprehension according to our professional linguistic discretion.
• World Wide Technology is responsible for all Engineering and post-delivery Quality Assurance steps.
• An in-context linguistic online review is recommended after files are imported to the final format/application and is 
  not included in the project scope. LanguageLine is not responsible for errors introduced during text import, how the 
  text appears online or for any mistranslations resulting from a lack of context during translation; as such issues are 
  identified and corrected as part of the final linguistic quality assurance step.
• Requests to change text or formatting after a project has started will result in additional charges.
• All amounts in this estimate are stated in U.S. Dollars (USD).
• The attached Terms and Conditions are an integral part of this quote.}}}","{{pdfviewer file=""WWT Translation and Localization Pricing Rev. 5.7.2014.pdf""/}}","From Alex:

Multiple Languages for TR/CE should be charged at hourly at $60.00 as min. 


sticky note in pricing
English to Dutch TR+CE  .24/.12/.06
English to Dutch  PR   $65
English to French (France) TR+CE  .24/.12/.06
English to French (France)  PR   $65
English to German TR+CE  .26/.13/.07
English to German PR  $65
English to Japanese  TR+CE  .28/.14/.07
English to Japanese  PR  $70
English to Spanish (Spain) TR+CE  .24/.12/06
English to Spanish (Spain) PR  $65

Dutch to English $0.29/word 8.2.16
Simplified Chinese to English: $0.20/word on 1.4.2017 (approved by Alex)
Portuguese (Brazil) to English priced at $0.24/word on 6.28.2017 (per Alex)

 Polish to English: $0.27/word


English (US) to Italian: $0.24/word new
English (US) to Thai: $0.22/word new

English to Hindi: $0.22/word
English (US) to Russian: $0.18/word new

 ",,,,LLS with a CID 732639.,,,
Client Info Library.New York Presbyterian - Morgan Stanley Children's Hospital,XTRF,New York Presbyterian - Morgan Stanley Children's Hospital,Client Info Library.New York Presbyterian,,XWiki.CoryMarkert,,"Important: In order for our invoices to be successfully processed and paid, submissions from New York Presbyterian - Morgan Stanley Children's Hospital** must contain their Cost Center and their billing contact**, as in this example below. (% style=""color:#c0392b"" %)**Thaiesha Petersen-Gardine (thp9021@nyp.org) should always be listed as Billing Contact **(%%)**in the project in XTRF. Please ask for the Cost Center if they do not provide. Their email submissions will usually look like this. **

[[image:1735250538454-652.png||alt=""Cost Center and Billing Contact example."" height=""133"" width=""683""]]

(% class=""box errormessage"" %)
(((
**IMPORTANT - 12/18/2024: **Effective immediately, **do not accept any projects** from New York Presbyterian - Morgan Stanley Children's Hospital and **do not accept requests to create new users.** Please forward all queries to Cory Markert and Jason Selden. 
)))","**Cost Center and Billing Contact required for us to get paid**

* Thaiesha Petersen-Gardine (thp9021@nyp.org) should always be listed as Billing Contact in the project in XTRF.
* Please ask for the Cost Center if they do not provide. 

(% class=""box infomessage"" %)
(((
(% style=""color:#c0392b"" %)**IMPORTANT - 12/18/2024: **Effective immediately, **do not accept any projects** from New York Presbyterian - Morgan Stanley Children's Hospital and **do not accept requests to create new users.** Please forward all queries to Cory Markert and Jason Selden. 
)))",,Lingo Systems (LLTS),,,,,,,,,,,,,,,,[[NYP pricing >>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/New%20York%20Presbyterian]],,,,,,,,
Client Info Library.Formen Testosterone Health,,Formen Testosterone Health,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare,,,,,,,,
Client Info Library.Barnstable Police Department,WorkFront,Barnstable Police Department,,,,,,,,LLS,,,,,,,,,,,,,,,,"[[Commonwealth of Massachusetts>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Commonwealth%20of%20Massachusetts]]
[[PRF75 Cost Table Price Sheet>>https://wiki.llts.com:8181/xwiki/bin/download/Client%20Info%20Library/Barnstable%20Police%20Department/Commonwealth%20of%20MA%20PRF75%20Cost%20Table%20Price%20Sheet.pdf]] (shown below)

{{pdfviewer file=""https://wiki.llts.com:8181/xwiki/bin/download/Client%20Info%20Library/Barnstable%20Police%20Department/Commonwealth%20of%20MA%20PRF75%20Cost%20Table%20Price%20Sheet.pdf""/}}

 ","Permission from BDM to charge for services other than TR+CE. Mark anything other than tr+ce as (Off-contract) and reference the contract number on the estimate:

• For Commonwealth of Massachusetts PRF75.


Copyedit/PR: $65

FMT/CRM: $55

PM: 10% | 27.50 min

Pass leveraging where applicable.",,,,,,,
Client Info Library.NYC Mayor’s Office for Economic Opportunity,WorkFront,NYC Mayor’s Office for Economic Opportunity,,,,,"Client is setup with a connector- Please see section 5 for details


Projects/requests sent from this client MUST be created and billed under NYC HRA (DSS):

[[https:~~/~~/wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/NYC%20Human%20Resource%20Administration>>url:https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/NYC%20Human%20Resource%20Administration]]","**__Connector Projects:__**

Requester: Cheryl Wertz - [[wertzc@dss.nyc.gov>>mailto:wertzc@dss.nyc.gov]]
Technology fee: $0.02/word + per word rate
Monthly fee arrangement (confirmed with Finance team?) N/A
Languages:  Arabic, Bengali, Chinese (Traditional), Haitian Creole, French, Polish, Korean, Russian, Spanish, and Urdu
Workflow:  TRCE only, no OLR (per wiki)
Quote or preapproved: Preapproved (exception is if amount exceeds $5000) 
Do we need a new project for every drop? No, new project should be set up each month. Each drop that comes in during the month will need to be part of that monthly project. 

Additional processing notes

Requests usually are sent to us from Jack Ding or other members of NYC Mayor’s Office for Economic Opportunity with him CC'ed. Requests/emails are identified as ""New batch [MM, DD, YYYY] from MOEO/NYCO"" and need to be treated as monthly projects. Projects still to be set up under Cheryl

NY Intake gets notified by Oussama Abou-Jamous <[[oabou-jamous@llts.com>>path:mailto:oabou-jamous@llts.com]]>  when files are submitted by the client via Crowdin Enterprise (AKA Connector) platform. Files are prepped and delivered via Connector so we might not see the files in the Lab folders as we normally do.

When creating the projects please use the following naming convention:
EN-10 MOEO x LL connector ([MM.YY])


 ",9020502003,LLS,"**A quote is needed for client’s approval if it is $5,000 or above.** If it falls below this amount, the request can be considered preapproved and the client does not need an estimate for their records.

Please build all projects/estimates under under Cheryl Wertz's name and contact info.

A client specific template must be used for all quotes with no Terms and Conditions listed.

Please refer to Formatting as “Desktop Publishing” on all quotes, to align with language in the contract.",Cheryl Wertz will review and approve all quotes.,,,,,,,,,,,,,,,$0.02/word pass through charge on all words received via connector,,,,,,,
Client Info Library.Longmont Police Department,,Longmont Police Department,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS Standard Block Pricing.,,,,,,,,
Client Info Library.21st Century Home Health Services,XTRF,21st Century Home Health Services,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare pricing,,,,,,,,
Client Info Library.NYS City School District of Albany,XTRF,NYS City School District of Albany,State of New York,,,,,,Direct Bill,LLS,"Upon request.
Client custom Project Confirmation and Quote Template set to NYS PS69777
 ",,,,,,,,,,,,,,Client doesn't get leveraging ,Client falls under NYS contract #PS69777,"Each language is priced a tiered per word rate. Please refer to “New York State Contract PS69777 Translation pricing 10-2022-2027” sheet for additional details.


Tier 1: $0.17/word

Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean, Arabic, Bengali and Polish

Tier 2: $0.24/word

All other languages


NOTE: If the requested language is rare and our resources are very limited per Jon Bove's confirmation and approval can charge up to $0.55/word


Formatting (Desktop Publishing):  

$60/hour for all languages


Document Review (for stand-alone copyedit projects): $55/hour


ADDITIONAL PRICING COMPONENTS

Client is not charged for the following services:

~* Proofreading

~* Project Management

~* Engineering


OFF CONTRACT (Priced at 50% margin):

~* Transcription

~* Recording",25%,No,,,,,"BDM: 

Daniel McAteer

Phone: 929-232-9665

Email: dmcateer@llts.com
 "
Client Info Library.Nixa Public Schools (MO),XTRF,Nixa Public Schools (MO),Client Info Library.State of Missouri,,,,,,695953,LLS,,,,,,,,,,,,,,,,National IPA / Omnia - with leveraging,,,,,,,,
Client Info Library.Texas Workforce Commission - Wage & Hour Department,XTRF,Texas Workforce Commission - Wage & Hour Department,Client Info Library.Texas Workforce Commission (State of Texas) ,,,,,,9020599447,LLS,,,,,,48-hour TAT for ES-> EN claims under 2 pages,,,,,,,,,[[State of Texas Pricing>>url:https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/State%20of%20Texas]] (in Pricing DB),,,,,,,,,
Client Info Library.Marriott,,Marriott,,,,,,,,Legal entity determined by requester,,,,,"NOTE :

Boston Marriott Quincy – separate company

Renaissance Washington DC Hotel  ~-~- separate company

|",,,,,,,,,,,"Per note dated 6/17/2013:

If client is legacy PI entity, 0.25/word all inclusive.

Per CM: If that will not cover our costs, let me know and I will see if we have any historical background to increase.


applied PI project minimum of $75 for DT project on 10.20.16",,Rush rate +25% on your total,,,,,,
Client Info Library.Red 24 Limit,,Red 24 Limit,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS block,,,,,,,,
Client Info Library.South Austin WIC Office,,South Austin WIC Office,,,,,,,,LLS,,,,,,,,,,,,,,,,TX DIR Pricing,"Texas DIR_Appendix C Pricing Index

PM Fee $40.30/hour
~*~**Note - PM fee must be manually calculated in the Quote AFTER you run the tool to convert from percentage to hourly~*~**",,,,,,,
Client Info Library.Redfin,,Redfin,,,,,,Home purchasing docs,"We will direct bill until LLS CID is established.

BDM working on getting accounting information.",LLS,,,,,,,,,,,,,,,,"{{pdfviewer file=""SOW- Translation and Localization.pdf""/}}

 ",,,,,,,,
Client Info Library.New Mexico Environment Department,XTRF,New Mexico Environment Department,Client Info Library.State of New Mexico,,,,,@env.nm.gov email addresses,,LLS,,,,,,,,,,,,,,,,Government pricing - with leveraging (per Joseph Varda) ,,,,,,,,
Client Info Library.OnTrac,XTRF,OnTrac,,,,,"LaserShipOnTrac has been changed to OnTrac, per Melissa Cope at LLS",,733267,LLS,,,,,,,,,,,,,,,,Client-specific,"Pass leveraging:

|English to Spanish (US)|$0.15/word
|English to Haitian Creole|$0.22/word

Additional Services:

* Proofreading $65/hour
* Formatting: $55/hour
* Minimums:
** Spanish - $99
** Haitian Creole - $125
* PM 10%, $27.50 minimum
* Spanish MTPE: $0.10/word
* Haitian Creole MTPE: $0.15/word",,,,,,,
Client Info Library.Frontier Adjusters,WorkFront,Frontier Adjusters,,,,,,,,LLS,,,,,,,,,,,,,,,,"Spanish (Latin America) to English (US): $0.18/word, $55/hr

PM fee: 10%",,,,,,,,
Client Info Library.Unity Hospice Care,WorkFront,Unity Hospice Care,,,,,,,,LLS,,,,,,,,,,,,,,,Healthcare List Pricing,,,,,,,,,
Client Info Library.Association of Monterey Bay Area Governments (AMBAG),XTRF,Association of Monterey Bay Area Governments (AMBAG),Client Info Library.California Multiple Award Schedule (CMAS),,,,,,,LLS,,,,,,,,,,,,,,,,[[California Multiple Award Schedule (CMAS)>>doc:California Multiple Award Schedule (CMAS)]],,,,,,,,
Client Info Library.Northwest Oncology & Hematology,XTRF,Northwest Oncology & Hematology; Northwest Oncology,,,,,,,Direct Bill,LLS,,,,,,,,,,,,,,,,Healthcare List Pricing.,,,,,,,,
Client Info Library.City of Greeley,XTRF,City of Greeley,Client Info Library.State of Colorado (Portfolio),,,,"(% class=""box errormessage"" %)
(((
All projects should be simple TR/CE only. **Client must approve if we believe FMT or PR are necessary or highly recommended.** 
)))",,536046,LLS,"(% class=""box infomessage"" %)
(((
**No**. All projects are preapproved unless a quote is explicitly requested.
\\Reference quote should be provided upon delivery. 
)))",,,,,,,,,,Reference quote should always be provided upon delivery for all projects.,,,,,National IPA / Omnia - with leveraging ,,,,,,,,
Client Info Library.The Task Force for Global Health,,The Task Force for Global Health,,,,,"**Website: taskforce.org**

**Company Name: The Task Force for Global Health**

**Sponsor: Joseph Varda**

[[image:1629134129376-796.png||height=""122"" width=""135""]]

(% style=""color:#c0392b"" %)**DO NOT CONFUSE WITH taskforce.us (TaskForce)**",,,LLS,,,,,,,,,,,,,,,,"**Client-Specific**

French (France) > EN: $0.22 / $0.22 / $0.06 / word.

FMT: $55.00 / hour. 

PM: 10%",,,,,,,,
Client Info Library.University of Michigan Health Plan  ,XTRF,University of Michigan Health Plan  ,,,,,,Formerly Physicians Health Plan (Michigan),,LLS,,,,,,,,,,,,,,,,"Margin pricing - Client Specific (In DB), no leveraging

 ","(% style=""color:#1abc9c"" %)TR/CE Foreign Language > English Rates:

* Hebrew > EN: $0.26/word
* Portuguese (Portugal) > EN: $0.24/word 
* French (France) > EN: $0.22/word
* Turkish > EN: $0.26/word
* Spanish (LA) > EN: $0.20/word
* Catalan > EN: $0.24/word
* German > EN: $0.24/word 
* Greek > EN: $0.26/word",,,,,,,
Client Info Library.Crop Production Services,,Crop Production Services,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS block pricing,,,,,,,,
Client Info Library.PayPal,,PayPal,,,,,,,**Global Securities Operations Team**: Customer Billing ID # 798962 and P.O. # 2000146837 (applicable for requesters:  Global Securities Operations Team),LLS,,,,,No translation rates have been set up yet. BDM is currently prospecting.,,,,,,,,,,,,,,,,,,,
Client Info Library.ERP Suites,,ERP Suites,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS block pricing,,,,,,,,
Client Info Library.Woman's Hospital,XTRF,Woman's Hospital,,,,,Woman's Health consolidated into Woman's Hospital (3/2/2023),"Margaret Temple will submit all request through the LLS customer portal as of Oct, 2023.

 ","Per BDM we can now use this CID for all submissions: 9029018062

All invoices to be sent to Margaret Temple [[MARGARET.TEMPLE@womans.org>>path:mailto:MARGARET.TEMPLE@womans.org]]",LLS,,,,,,,,,,,,,,,,[[Healthcare list pricing>>https://wiki.llts.com:8181/xwiki/bin/view/Knowledge%20Management/List%20Pricing%20-%20Healthcare%20List%20Pricing/]],,,,,"A new account number has to  be created for every project, as well as putting “1 Invoice Per Project” in the CID field. All invoices to be sent to Margaret Temple [[MARGARET.TEMPLE@womans.org>>path:mailto:MARGARET.TEMPLE@womans.org]]",,,
