xwiki_page,xwiki_page_name,xwiki_rest_url,Business_System,clientname,parentcompany,childcompany,lead,pmlead,notesissues,intake,cid,legalentity,requirequote,whoapprovequote,refusingprojects,followrules,intakeinfo,processingrequirements,securityrequirements,translationmemory,translationglossary,usrequirements,deliveryrequirements,certificationneeded,preferredlinguist,processinginformation,pricingrequirements,pricingstructure,expandoncontract,rushfees,minimums,languagenotincluded,billclient,porequirements,billingcontact,billinginfo
Client Info Library.U\.S\. Department of the Air Force,U.S. Department of the Air Force,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/U.S.%20Department%20of%20the%20Air%20Force/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,WorkFront,U.S. Department of the Air Force,,,,,,,,LLS,,,,,,,,,,,,,,,,[[GSA pricing>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/GSA]],,,,,,,,
Client Info Library.Jamestown Public School District,Jamestown Public School District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Jamestown%20Public%20School%20District/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,,Jamestown Public School District,,,,,,,502794,LLS,,,,,,,,,,,,,,,,School District List Pricing (in Pricing DB.),,,,,,,,
Client Info Library.Employment Development Department (EDD),Employment Development Department (EDD),https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Employment%20Development%20Department%20%28EDD%29/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Employment Development Department (EDD) ,Client Info Library.State of California,,,,"(% class=""box errormessage"" %)
(((
**DO NOT provide any translation projects **for The Employment Development Department (EDD) State of California regardless of who is requesting the service. Any questions, please reach out to Joseph Varda. 
\\This is not an active account.
)))",,,LLS,,,,,,,,,,,,,,,,,,,,,,,,
Client Info Library.The Surgery Center,The Surgery Center,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/The%20Surgery%20Center/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,,The Surgery Center,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare pricing,,,,,,,,
Client Info Library.Epic Brokers,Epic Brokers,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Epic%20Brokers/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Epic Brokers,,,,,,,Direct billing- set at contact level and collect direct billing information for new all new contacts,LLS,,,,,,,,,,,,,,,,[[LLTS Rack Rates>>doc:Knowledge Management.List Pricing - LLTS Rack Rates (General).WebHome]],,,,,,,,
Client Info Library.NYS Nassau Co Office of Crime Victim Advocate,NYS Nassau Co Office of Crime Victim Advocate,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/NYS%20Nassau%20Co%20Office%20of%20Crime%20Victim%20Advocate/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,NYS Nassau Co Office of Crime Victim Advocate,NYS Nassau County,,,,,,9020515132,LLS,"Upon request.
Client custom Project Confirmation and Quote Template set to NYS PS69777.
 ",,,,,,,,,,,,"|Language|TRCE|PR
|Chinese (Traditional)|E-C|[[Alice (HuiChih) Lee>>url:https://llts.my.workfront.com/user/5380845e000061969e534463034c1417]]
|Spanish (US)|S2 Lingua|Gabi
|Farsi|ILA|Bayan
|Haitian Creole|Creole Solutions|Nathalie Coupet
|Italian|Akzent|Silvia Hipple
|Korean|E-C|Kwang Park

If the preferred linguist is unavailable, please reach out to the client to inquire if they would like us to deliver later using the preferred linguist, or assign to a different linguist in order to deliver on time.",,Client doesn't get leveraging ,Client falls under NYS contract #PS69777,"Each language is priced a tiered per word rate. Please refer to “New York State Contract PS69777 Translation pricing 10-2022-2027” sheet for additional details.

Tier 1: $0.17/word
Spanish, Chinese, Russian, Italian, French, Haitian Creole, Korean, Arabic, Bengali and Polish
Tier 2: $0.24/word
All other languages

NOTE: If the requested language is rare and our resources are very limited per Jon Bove's confirmation and approval can charge up to $0.55/word

Formatting (Desktop Publishing):   
$60/hour for all languages

Document Review (for stand-alone copyedit projects): $55/hour

ADDITIONAL PRICING COMPONENTS
Client is not charged for the following services:
~* Proofreading
~* Project Management
~* Engineering

OFF CONTRACT (Priced at 50% margin):
~* Transcription
~* Recording",25%,No,,Bill all projects to account 9020515132,,,"BDM: 

Daniel McAteer

Phone: 929-232-9665

Email: dmcateer@llts.com"
Client Info Library.Portland State University,Portland State University,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Portland%20State%20University/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Portland State University (PSU),,,,,"[[image:1701467995716-936.png||height=""75"" width=""291""]]

[[https:~~/~~/www.pdx.edu/>>url:https://www.pdx.edu/]]","Wiki set up for migration. Existing customer, no work since 2019 - new 2023 request set up in XTRF.",,Lingo Systems (LLTS),,,,,,,,,,,,,,,,[[SD List>>doc:School District & Board of Education List Pricing]],,,,,,,,
Client Info Library.The Larkin Company,The Larkin Company,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/The%20Larkin%20Company/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,The Larkin Company,,,,,,,Direct Bill,LLS,,,,,,,,,,,,,,,,Healthcare,"MTPE:
English> French (France): $0.17/word

 ",,,,,,,
Client Info Library.Enfield Public Schools,Enfield Public Schools,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Enfield%20Public%20Schools/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Enfield Public Schools,,,,,,,,LLS,,,,,Not a part of TransACT,,,,,,,,,,,School List Pricing,,,,,,,,
Client Info Library.Franciscan St\. James Health,Franciscan St. James Health,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Franciscan%20St.%20James%20Health/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,,Franciscan St. James Health,,,,,,,,LLS,,,,,,,,,,,,,,,,LLS block pricing,,,,,,,,
Client Info Library.Jefferson Healthcare,Jefferson Healthcare,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Jefferson%20Healthcare/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Jefferson Healthcare,,,,,,,243656,LLS,"Yes,estimate only option in the client portal.",,,,,,,,,,,,,,,HC List Pricing,,,,,,,,
